n,r,m
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.1Ce0.40.1Nb2O9,property_value: 21.7})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.15Ce0.40.15Nb2O9})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.05Ce0.40.05Nb2O9})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40Ce0.40Nb2O9})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_PRECURSOR],(:Precursor {name: Nb2O5})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_PRECURSOR],(:Precursor {name: BaCO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_PRECURSOR],(:Precursor {name: Li2CO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_PRECURSOR],(:Precursor {name: CeO2})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: High-temperature resistivity test system})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static d33 meter})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Piezoresponse force microscopy (PFM)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Ferroelectric test system})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: XRD})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: High temperature})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: Thermal stability})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:HAS_KEYWORD],(:Keyword {name: Electroceramics})
"(:Author {name: Tao Lin,affiliation_id: 114656225})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Jiaxing Nanhu University,affiliation_id: 114656225})"
"(:Author {name: Tao Lin,affiliation_id: 114656225})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Wen Ying Fan,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Wen Ying Fan,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Chuan Yang Tao,affiliation_id: 60020224})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wenzhou University,affiliation_id: 60020224})"
"(:Author {name: Chuan Yang Tao,affiliation_id: 60020224})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Jun Ma,affiliation_id: 60020224})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wenzhou University,affiliation_id: 60020224})"
"(:Author {name: Jun Ma,affiliation_id: 60020224})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Bin Jie Chen,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Bin Jie Chen,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Zhong Shang Dou,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Zhong Shang Dou,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Bing Lin Shen,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Bing Lin Shen,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Min Ju,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Min Ju,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Jing Tong Lu,affiliation_id: 60025278})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Tsinghua University,affiliation_id: 60025278})"
"(:Author {name: Jing Tong Lu,affiliation_id: 60025278})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Mei Peng Zhong,affiliation_id: 114656225})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Jiaxing Nanhu University,affiliation_id: 114656225})"
"(:Author {name: Mei Peng Zhong,affiliation_id: 114656225})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Yu Qing Zhou,affiliation_id: 114656225})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Jiaxing Nanhu University,affiliation_id: 114656225})"
"(:Author {name: Yu Qing Zhou,affiliation_id: 114656225})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Mao Hua Zhang,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Mao Hua Zhang,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Wen Gong,affiliation_id: 127590883})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Tongxiang Tsingfeng Technology Co. Ltd,affiliation_id: 127590883})"
"(:Author {name: Wen Gong,affiliation_id: 127590883})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Fang Zhou Yao,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Fang Zhou Yao,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Author {name: Ke Wang,affiliation_id: 127078046})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Wuzhen Laboratory,affiliation_id: 127078046})"
"(:Author {name: Ke Wang,affiliation_id: 127078046})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})"
"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.2Ce0.40.2Nb2O9})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.1Ce0.40.1Nb2O9,property_value: 21.7})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.15Ce0.40.15Nb2O9})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.05Ce0.40.05Nb2O9})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40Ce0.40Nb2O9})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: A strategy for improving piezoelectricity and thermal stability of Na0.25K0.25Bi2.5Nb2O9-based piezoceramics via A/B-site co-doping,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116961})",[:USES_METHOD],(:Method {name: solid-state reaction})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: A strategy for improving piezoelectricity and thermal stability of Na0.25K0.25Bi2.5Nb2O9-based piezoceramics via A/B-site co-doping,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116961})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Blended powders in ethanol for 4 h using planetary ball milling
- Calcination at 850 °C for 2 h
- Secondary ball milling
- Compressed into wafers (10 mm diameter) using 7 wt.% polyvinyl alcohol binder
- Heated at 750 °C for 1 h to remove polyvinyl alcohol
- Sintering at 1100 °C for 2 h})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: A strategy for improving piezoelectricity and thermal stability of Na0.25K0.25Bi2.5Nb2O9-based piezoceramics via A/B-site co-doping,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116961})",[:BELONGS_TO_FAMILY],(:Family {name: Bismuth Layer-Structured Ferroelectrics (BLSFs)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: A strategy for improving piezoelectricity and thermal stability of Na0.25K0.25Bi2.5Nb2O9-based piezoceramics via A/B-site co-doping,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116961})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Na0.25K0.25Bi2.5Nb2O9,property_value: 14})"
